CID,estimated,kensoter
0,1.46,7.20
1,-5.46,6.60
2,2.36,7.20
3,-0.16,7.30
4,-6.65,5.40
5,-11.17,5.60
6,-9.66,5.50
7,-8.28,5.20
8,0.67,6.80
9,3.66,7.20
10,-8.01,5.70
11,-2.63,6.10
12,-7.31,5.60
13,1.31,7.20
14,-3.36,5.80
15,-9.84,5.50
16,1.60,5.90
17,-5.59,5.30
18,-2.31,7.30
19,-1.34,5.40
20,-6.53,5.40
21,-0.95,5.90
22,-2.15,5.80
23,-0.32,5.80
24,-1.36,5.90
25,-7.46,5.40
26,-1.57,7.20
27,2.27,7.20
28,-1.81,5.90
29,-9.06,5.60
30,-0.22,7.20
31,-7.61,5.80
32,4.07,6.20
33,3.32,5.90
34,1.92,5.40
35,-1.85,5.80
36,1.67,5.90
37,-10.40,5.50
38,-3.27,5.60
39,-8.31,5.50
40,-8.10,6.00
41,-1.45,5.70
42,-5.40,6.10
43,-0.62,7.30
44,3.12,5.90
45,5.49,6.20
46,-7.09,5.20
47,4.79,6.20
48,-5.28,6.80
49,1.34,6.20
50,0.41,5.80
51,2.65,5.40
52,-3.69,7.20
53,1.65,6.80
54,-6.41,6.00
55,-0.91,7.40
56,1.89,5.80
57,-1.02,5.80
58,-3.30,5.70
59,-8.19,5.80
60,-5.42,6.50
61,2.53,5.90
62,0.71,7.30
63,2.29,5.90
64,-8.19,5.20
65,0.31,5.80
66,-2.08,6.10
67,-3.46,6.00
68,-3.48,5.80
69,-1.02,6.20
70,1.00,5.90
71,-7.20,6.00
72,2.79,5.60
73,1.61,5.90
74,-10.13,5.40
75,-1.50,6.00
76,-4.30,6.00
77,-9.20,5.80
78,1.74,7.20
79,0.20,5.80
80,-0.88,5.90
81,-9.57,5.40
82,-9.54,5.80
83,-9.35,5.30
84,3.80,7.30
85,-1.23,5.30
86,3.52,5.70
87,-0.19,5.40
88,-3.46,5.80
89,-9.19,5.40
90,-6.44,5.50
91,3.82,7.40
92,5.60,7.30
93,-6.84,5.80
94,-6.28,5.40
95,2.45,7.20
96,3.32,7.30
97,-9.19,5.50
98,1.08,5.80
99,-5.27,6.00
